pv_name,rmse,mae,r2,gof,n_train,n_val
pv_160,14.368009035735938,10.938000319446486,0.7428439726378386,84.61699073812733,52056,97
pv_162,14.549046176767575,10.972818058796763,0.7362860206337047,84.416400258614,52058,97
pv_164,14.561949989422732,10.699682777041627,0.7357797628530254,84.39553094816567,52059,97
pv_166,13.928339204820784,10.683782643893949,0.7582470669543693,85.06986114453842,52061,97
pv_168,14.302498932605712,10.799024651615891,0.7450275353120304,84.65787272335822,52061,97
pv_170,14.408956844042436,10.850654481477344,0.7419804415538864,84.68708438058832,52050,97
pv_18,14.162803101132738,10.556863728773962,0.7480112442591464,84.31700851419117,52048,97
pv_2,14.067030392430551,10.349303305923325,0.7514127312586875,84.42043794283641,52050,97
pv_20,13.946059180211519,10.307864715555278,0.7556466114565152,84.55233182052577,52048,97
pv_22,14.07698266496522,10.468964961275612,0.7510374055395252,84.40828914413908,52048,97
pv_24,14.235410360293173,10.66077793362829,0.7453908802934144,84.23040880923328,52050,97
pv_26,14.194240575786225,10.676818514659846,0.7468493965835539,84.27337983397494,52050,97
pv_28,14.457883017385857,10.838074015385097,0.7373437453312714,83.97833896039064,52050,97
pv_30,13.73282988600073,10.09825959047706,0.7637245409250033,84.97192380939673,52049,97
pv_32,13.753603014123476,10.077823704284492,0.7630073234326799,84.94902930985091,52049,97
pv_34,13.743049353866013,10.10709610177684,0.763365774864236,84.9595450169792,52049,97
pv_36,13.355518418252288,10.109049780092288,0.7765169852138616,85.3823802901324,52049,97
pv_38,13.13181831279623,9.859302691036893,0.7839447734550082,85.62877540226646,52049,97
pv_4,13.958111591024638,10.341231521208263,0.755247885660723,84.54149255452288,52050,97
pv_40,13.312559054699326,9.869043394333309,0.7779479644140854,85.42910488168157,52049,97
pv_42,12.808063140764254,9.559353202283383,0.7944402495069368,85.97648573651082,52049,97
pv_44,14.152590702663556,10.63239296462118,0.7490173923723302,84.50494466636692,52050,97
pv_46,14.219414241717834,10.780862281457663,0.7466279930756425,84.42889239671186,52050,97
pv_48,14.266347821597869,10.701324237081193,0.7449376500317477,84.37433417421055,52051,97
pv_50,14.085785545945345,10.632455438787176,0.7513363382494801,84.56859711109294,52051,97
pv_52,14.214438978047184,10.63419241760195,0.7467558059669236,84.42392610114209,52051,97
pv_54,13.807849382166738,10.424302895059906,0.7610285625146435,84.86834811515232,52051,97
pv_56,14.123928804391506,10.7055721440389,0.7499430298504779,84.51771935561317,52051,97
pv_58,12.849002513367857,9.658380897973,0.7935801114535819,86.05274824304007,52049,97
pv_6,14.36778219428682,10.568385076359988,0.7406817456836998,84.09154635858546,52050,97
pv_60,12.885820149832995,9.654111851893134,0.7923780650212126,86.00833650536667,52049,97
pv_62,12.839838250405702,9.552783482953446,0.7938522055599578,86.05707249500257,52049,97
pv_64,13.738023478159056,10.499163811968774,0.7639898788863299,85.07893773297806,52049,97
pv_66,14.68418585664314,11.223289781212808,0.7303509256266438,84.0491085218863,52049,97
pv_68,14.758820739509208,11.161950905187846,0.7275903092022591,83.96546137528168,52049,97
pv_70,14.678442437478704,11.16865611831245,0.7305153706948008,84.04536178849109,52049,97
pv_72,15.055941840510108,11.404928883329495,0.7164586575077725,83.63157312400385,52051,97
pv_74,14.247848621689933,10.843801827538261,0.7460731472895441,84.5092783744093,52052,97
pv_76,14.114675900723174,10.780140730773976,0.750760005951528,84.64554358566023,52052,97
pv_78,14.038802284162802,10.699796061921365,0.7534118838845913,84.72366188190409,52052,97
