datetime,datetime_naive,GHI_clear,solar_elev,GHI_measured,CSI_measured,NSRDB_CSI,S2_CSI,S2_mask,S3_CSI,S3_mask,CSI_IDW_fallback,CSI_zeroshot,CSI_final,GHI_final,source
2024-01-01 11:40:00+00:00,2024-01-01 11:40:00,0.0,-40.31657544870498,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 11:45:00+00:00,2024-01-01 11:45:00,0.0,-39.469783253174775,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 11:50:00+00:00,2024-01-01 11:50:00,0.0,-38.6209380921754,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 11:55:00+00:00,2024-01-01 11:55:00,0.0,-37.77032587441646,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 12:00:00+00:00,2024-01-01 12:00:00,0.0,-36.91822090476978,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 12:05:00+00:00,2024-01-01 12:05:00,0.0,-36.06488610041848,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 12:10:00+00:00,2024-01-01 12:10:00,0.0,-35.210574274097176,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 12:15:00+00:00,2024-01-01 12:15:00,0.0,-34.355529353065315,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 12:20:00+00:00,2024-01-01 12:20:00,0.0,-33.49998639137604,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 12:25:00+00:00,2024-01-01 12:25:00,0.0,-32.64417324163341,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 12:30:00+00:00,2024-01-01 12:30:00,0.0,-31.788310342729396,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 12:35:00+00:00,2024-01-01 12:35:00,0.0,-30.932612293826594,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 12:40:00+00:00,2024-01-01 12:40:00,0.0,-30.077287548339353,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 12:45:00+00:00,2024-01-01 12:45:00,0.0,-29.222539903470718,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 12:50:00+00:00,2024-01-01 12:50:00,0.0,-28.368568231549734,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 12:55:00+00:00,2024-01-01 12:55:00,0.0,-27.515567324851357,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 13:00:00+00:00,2024-01-01 13:00:00,0.0,-26.663728707261466,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 13:05:00+00:00,2024-01-01 13:05:00,0.0,-25.813240273986583,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 13:10:00+00:00,2024-01-01 13:10:00,0.0,-24.964287619087596,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 13:15:00+00:00,2024-01-01 13:15:00,0.0,-24.117053512526677,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 13:20:00+00:00,2024-01-01 13:20:00,0.0,-23.27171917801252,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 13:25:00+00:00,2024-01-01 13:25:00,0.0,-22.42846373065292,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 13:30:00+00:00,2024-01-01 13:30:00,0.0,-21.587465411510937,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 13:35:00+00:00,2024-01-01 13:35:00,0.0,-20.748901105504885,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 13:40:00+00:00,2024-01-01 13:40:00,0.0,-19.912946976295636,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 13:45:00+00:00,2024-01-01 13:45:00,0.0,-19.079779080455946,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 13:50:00+00:00,2024-01-01 13:50:00,0.0,-18.24957284902748,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
